dsc_item,n
CANETA P  QUADRO BRANCO  NA COR AZULPONTA 2 0MM  PARA ESCRITA EM ACETATO  TINTA A BASE DE ALCOOL COM SECAGEM RAPIDA E RESISTENTE A AGUA E UMIDADE  IDEAL PARA TRANSPARNCIAS 17851,1
CANO DE AGUA SOLDAVEL BARRA 6M 25MM,1
CANO MARROM PVC 20 MM AGUA,1
CANO MARROM PVC AGUA 50MM -,1
"CANUDO PLASTICO FLEXIVEL PARA AGUA OU SUCO 21CM X 6MM, BRANCO,  PCT. COM 100 UNIDADES EMBALADO INDIVIDUALMENTE",1
CAP PVC ROSCAVEL BRANCO PARA AGUA FRIA 2,1
"CAP PVC, ROSCAVEL, 3/4, PARA AGUA FRIA PREDIAL",1
"CAP PVC, SOLDAVEL, 40 MM, PARA AGUA FRIA PREDIAL",1
CARBOCISTEINA XAROPE ADULTO 50MGML CADA ML DO XAROPE ADULTO CONTEM: CARBOCISTEINA  50 MG VEICULO Q S P  1 ML VEICULO: SACAROSE  ALCOOL ETILICO  CORANTE CARAMELO  ESSENCIA ARTIFICIAL DE CANELA  ESSENCIA ARTIFICIAL DE RUM  HIDROXIDO DE SODIO  METILPARABENO E AGUA PURIFICADA,1
"CARNE BOVINA ACEM, CONGELADO, LIMPO, LIVRE DE APONEUROSES FASCIAS MUSCULARES, TENDOES, DEDOS E SEBO . LIVRE DE ADICAO DE AGUA . A EMBALAGEM DEVERA SER DO MATERIAL ATOXICO, DEVIDAMENTE APROVADO PELO ORGAO OFICIAL DE INSPECAO , POSSUIR SELO OU SOLDA INVIOLAVEL. A EMBALAGEM SECUNDARIA SERA NA FORMA USUAL DO FORNECEDOR . OS DIZERES DE ROTULAGEM DEVEM ATENDER A INSPECAO OFICIAL, NOME VERDADEIRO  DO PRODUTO SEGUNDO NOMENCLATURA OFICIAL , ENDERECO COMPLETO DO FABRICANTE , PESO , LIQUIDO , ROTULAGEM , NUTRICIONAL, CONSERVACAO, DATAS DE PRODUCAO/ LOTE E VENCIMENTO . A VALIDADE DOS CORTES FORNECIDOS DEVERA ESTAR ATE UM TERCO TOMADA OU DOIS TERCOS LIVRES . -",1
"CARNE DE FRANGO TIPO COXA E SOBRECOXA DE FRANGO(ROTULADO, CONGELADO), COM ADICAO DE AGUA DE NO MAXIMO 6%. PRODUTO SIF/IMA. CONTENDO REGISTRO DO ROTULO",1
"CARRO FUNCIONAL DE LIMPEZA, FABRICADO COM POLIPROPILENO  RESISTENTE, BOLSA DE VINIL COM ABERTURA FRONTAL, SISTEMA DE FIXACAO  PARA DIVERSOS TIPOS DE ACESSORIOS, ACOMPANHADO DE BALDE COM  RODAS E DIVISOR DE AGUA LIMPA E SUJA COM ESPREMEDOR E  CAPACIDADE MINIMA DE 30 LITROS, PA COLETORA DE LIXO BASCULANTE,  PLACA SINALIZADORA  CUIDADO! PISO MOLHADO , ARMACAO MOP PROFI  COM 40 CM FEITA EM POLIPROPILENO DE ALTA RESISTENCIA COM  ESTRUTURA EM ACO GALVANIZADO, 2 CABOS DE ALUMINIO COM 140 CM, E  HASTE AMERICANA PARA MOP LIQUIDO.",1
"CARRO MACA HOSPITALAR, ESTRUTURA EM TUBO DE ACO CARBONO REDONDO  LEITO ESTOFADOCOM ESPUMA REVESTIDO EM COURVIM D28 NA COR VERDE AGUA, CABECEIRA REGULAVEL ATRAVES DE CREMALHEIRA  GRADES LATERAIS DE ABAIXAR EM TUBO DE ACO INOX  SUPORTE PARASORO COM 02 GANCHOS (T), ACABAMENTO EM PINTURA EPOXI, COM TRATAMENTO ANTI-FERRUGINOSO, PARA-CHOQUE DE PROTECAO NA CABECEIRA E PES, RODIZIOS DE 5  EM POLIPROPILENO, COM SISTEMA DE FREIO EM DIAGONAL. MEDINDO 1,90 M DE COMPRIMENTO X 0,60 M DELARGURA E 0,80 M DE ALTURA. CAPACIDADE DE PESO DE NO MINIMO 130 KG. GARANTIA DENO MINIMO 01 ANO, REGISTRADO NA ANVISA",1
"CARRO PARA LIMPEZA CONSTRUIDO EM POLIPROPILENO COM BALDE ESPREMEDOR DE 30 LITROS, KITS DE LIMPEZA LIQUIDO E PO, PLACA DE SINALIZACAO, PA, BALDE ESPREMEDOR COM DIVISAO DE AGUA LIMPA E SUJA.",1
"CERA LIQUIDA  INCOLOR  - CERA LIQUIDA  INCOLOR  - CERA LIQUIDA, AUTO BRILHO, INCOLOR, PARA PISO FRIO, DISPENSANDO O USO DE ENCERADEIRA, EMBALAGEM COM 850 ML, DISPERSAO ACRILICA METALIZADA, ALCOOL BARIRICO ETOXILADA, ALCALINISANTE PLASTIFICANTE, CONSERVANTE FRAGRANCIA E AGUA, PARAFINA, CARNAUBA,  SELO ECOLOGICO   FALCAO BAUER",1
CERA LIQUIDA  INCOLOR LEITOSO  COMPOSICAO A BASE DE AGUA CARNAUBA E RESINAS METALIZADAS  ANTIDERRAPANTE  IMPERMEABILIZANTE  CX C 12 LATAS,1
"CERA LIQUIDA INCOLOR 750 ML 1ª QUALIDADE - COMPOSICAO: DISPERSAO ACRILICA METALIZADA (ACRILMAX) EMULSAO DE POLIETILENO, AGENTE FORMADOR DE FIO, AGENTE NIVELADOR, PLASTIFICANTE, FRAGANCIA, CONCERVANTE, CORANTE (EXETO ARDOSIA MAX INCOLOR E AGUA)",1
"CERA LIQUIDA PARA PISO PRINCIPIO ATIVO CARNAUBA COMPOSICAO BASICA PARAFINA, EMULSIFICANTE CONSERVANTE, AGUA E SEM PERFUME TEOR NAO VOLATEIS MINIMO",1
"CERA LIQUIDA VERMELHA, COMPOSICAO: (CARNAUBA, DISPERSAO ACRILICA METALIZADA, SOLVENTE, TENSOATIVOS NAO IONICOS, COADJUVANTE, ALCALIZANTE, PLASTIFICANTE, 1,2 BENZOISOTHIAZOLINONA 3, FRAGANCIA E AGUA) - 750 ML",1
"CERA LIQUIDA, INCOLOR, AUTO BRILHO, EMBALAGEM 850 ML ACRILICA, COM ACAO AUTO BRILHO, INDICADA PARA PISOS CERAMICOS GRANITOS, MARMORES, ARDOSIAS E PAVIFLEX  COMPOSICAO BASICA RESINA NATURAL, SILICONE, AGUA E PERFUME  ACONDICIONADO EM FRASCO PLASTICO,CONTENDO 850ML, VALIDADE 12 MESES  PRODUTO SUJEITO A VERIFICACAO NO ATO DA ENTREGA  AOS PROCEDIMENTOS ADMINISTRATIVOS DETERMINADOS PELA ANVISA.",1
"CERA, LIQUIDA INCOLOR ( BOMBONA 5 LITROS), COMPOSICAO: EMULSAO DE CERAS NATURAIS, RESINA ALCALI-SOLUVEL, PRESERVANTE, FRAGANCIA E AGUA.",1
"CESTA BASICA - CONTENDO OS SEGUINTES PRODUTOS: 02 PACOTES DE 250 GRAMAS DE CAFE MOIDO E TORRADO COM SELO ABIC, 02 KG DE ACUCAR CRISTAL, 01 PCTE DE 05 KG DE ARROZ BRANCO POLIDO, TIPO 1, 02 KG DE FEIJAO CARIOCA TIPO 1, 1 KG DE FARINHA DE MANDIOCA TORRADA E MOIDA CLARA, 02 LATAS DE OLEO DE SOJA 0  DE GORDURA TRANS SEM COLESTEROL, 01 PACOTE DE 1 KG DE MACARRAO TIPO ESPAGUETE, 01 PACOTE DE 01 KG DE SAL MOIDO IODADO FINO, 01 ACHOCOLATADO EM PO 200 GRAMAS, 01 BISCOITO AGUA E SAL TIPO CREAM CRACK 400 G, 01 LEITE EM PO PCTE 200 GRAMAS.",1
CHUVEIRO PARA AGUA FRIA,1
CHUVEIRO SIMPLES DE PVC - AGUA FRIA DE 7  CHUVEIRO SIMPLES DE PVC - AGUA FRIA DE 7,1
CLORETO DE SODIO (SAL) GRANULADO GROSSO  DESTINACAO: TRATAMENTO DE AGUA PARA CONSUMO HUMANO  PROCESSO: DISSOCIACAO ELETROLITICA E USO EM GERADOR E DOSADOR DE SOLUCAO OXIDANTE A BASE DE HIPOCLORITO DE SODIO COM AS SEGUINTES PROPRIEDADES: CLORETO DE SO,1
"CLORO 02 LITROS, DE 1A QUALIDADE, ACAO GERMICIDA E BACTERICIDA DESINFETA E DESODORIZA ELIMINANDO BACTERIAS, COMPOSICAO DE HIPOCLORITO DE SODIO E AGUA,TEOR DE CLORO ATIVO3,0% A 3,5%, COM TODAS INFORMACOES PERTINENTES AO PRODUTO, PREVISTO NO EDITAL.",1
"CLORO SUPER FORTE COM TEOR DE CLORO ATIVO DE 3,9 A 5,6  P/P. COMPOSICAO:  HIPOCLORITO DE SODIO, CORANTE E AGUA. O ROTULO DEVE CONTER DATA DE VALIDADE, DADOS DO FABRICANTE, PRINCIPIO ATIVO, COMPOSICAO DO PRODUTO E CONTEUDO LIQUIDO. COM VALIDADE MINIMA",1
"COFFEE BREAK - FORNECIMENTO DE COFFEE BREAK, CONSIDERANDO EVENTO, COM PRECO POR PESSOA: CAFE, LEITE, AGUA, 2 TIPOS DE SUCO, 2 TIPOS DE REFRIGERANTES  1 DIETETICO , 3 TIPOS DE BISCOITOS FINOS, PAO DE METRO, CESTA DE PAES VARIADOS, TORRADAS, 3 TIPOS DE",1
"COLA BRANCA - LAVAVEL - NAO TOXICA - ADESIVA, PVA, A BASE DE AGUA, APROVADO PELO INMETRO - 90 GRS",1
"COLA BRANCA A BASE DE AGUA, 1 KG",1
"COLA BRANCA, LIQUIDA, A BASE DE AGUA, NAO TOXICA, 40GRS,  ACRILEX, BIC, FABER CASTELL, SCOTCH OU SUPERIOR  -",1
"COLA COLORIDA, KIT C/ 6 CORES, NAO TOXICA, SOLUVEL EM AGUA, ACABAMENTO BRILHANTE, C/ 23G -",1
COLA ESCOLAR 250GR A BASE DE AGUA LAVAV - 00200201711,1
"COLA LIQUIDA 500ML, COM BICO COM ESPATULA APLICADORA, COMTAMPA ADICIONAL NO TUBO QUE EVITA VAZAMENTO E COM REGISTRO NO CONSELHO REGIONAL DE QUIMICA, ATOXICOCOMPOSICAO: RESINA PVA E AGUA (38237)",1
"COLAR DE TOMADA PVC, 32MM 3/4 AGUA, CLASSE A (170043009611102)",1
"COLUNA PARA DEIONIZADOR, DE AGUA MODELO PERMUTION CAPACIDADE 50 LITROS/HORA",1
"COMPOSICAO REPRESENTATIVA) DO SERVICO DE INSTALACAO DE TUBOS DE PVC. SOLDAVEL, AGUA FRIA, DN 50 MM( INSTALADO EM PRMADA), INCLUISVE CONEXOES, CORTES E FICACOES PARA PREDIOS   AF 10-2015",1
"COMPOSTO LACTEO ADICIONADO DE VITAMINAS, MINERAIS E FIBRAS. COMBINACAO EXCLUSIVA DE CALCIO, PROTEINA E VITAMINA D. SEM ADICAO DE ACUCARES. RICO EM SELENIO, VITAMINA D E B12, FONTE DE CALCIO, FOSFORO, ZINCO, COBRE, VITAMINAS A, E, K, C, B1, B6, ACIDO PANTOTENICO E BIOTINA E SEM ADICAO DE SACAROSE E DE OUTROS ACUCARES*, SEM GLUTEN.  CONTEM LACTOSE. CONTEM FIBRAS SOLUVEIS E SEM SABOR, PODENDO SER RECONSTITUIDO COM AGUA OU SER ADICIONADO AO FINAL DE RECEITAS DOCES E SALGADAS.  CONTEM ACUCARES PROPRIOS DOS INGREDIENTES. DESENVOLVIDO PARA ADULTOS MAIORES DE 50 ANOS COM NECESSIDADES DE COMPLEMENTOS NUTRICIONAIS. BENEFICIOS: CALCIO E VITAMINA D AUXILIAM NA MANUTENCAO DE OSSOS FORTES. PROTEINA CONTRIBUI NA MANUTENCAO DOS MUSCULOS. VITAMINAS: B1, B2, B3, B5, B6 E BIOTINA CONTRIBUEM PARA UMA PRODUCAO E LIBERACAO DE ENERGIA. ZINCO E VITAMINA C CONTRIBUEM PARA O SISTEMA IMUNOLOGICO. FERRO AUXILIA NA FORMACAO DAS CELULAS VERMELHAS. CARACTERISTICAS TECNICAS: FONTE DE MACRONUTRIENTES: GORDURAS - 31%",1
"CONE BARRIL: MATERIAL CILINDRICO, FABRICADO EM POLIETILENO DE BAIXA DENSIDADE, COM PROTECAO CONTRA RAIOS UV, RESISTENTE A INTEMPERIES, (SOL E CHUVA), COM 1,23 M DE ALTURA, COM 3 FITAS ADESIVAS REFLETIVAS, DE ALTA VISIBILIDADE, DE 7CM CADA, COM REBAIXO INDIVIDUAL PARA A PROTECAO DAS MESMAS. NA PARTE SUPERIOR, POSSUIR ALCA PARA FACILITAR O TRANSPORTE E ORIFICIO PARA ENCAIXE DE PISCA DE ADVERTENCIA, EXTERNO OU INTERNO (SINALIZADOR NOTURNO). BASE QUADRADA, DE 60 CM X 60 CM, COM AREA EXTERNA PARA PERSONALIZACAO E AREA INTERNA PARA ENCHER COM AGUA OU AREIA . NA PARTE INFERIOR, POSSUIR 4 ELEVACOES PARA PASSAGEM DE AGUA. PESO DO CONE 7,0 KG NA COR LARANJA. DEVERA SER IMPRESSA OU SILKADA A LOGOMARCA DA TRANSCON, CONFORME PADRAO DA AUTARQUIA.",1
CONJUNTO DE BOMBA SUBMERSA 5 HP TRIFASICO 220 V ( OU SIMILAR ) VAZAO ATE 12.000 LTS D'AGUA,1
"CONTAINER DE LIXO, COM CAPACIDADE DE 1000 LITROS NOMINIMO, FABRICADO EM POLIETILENO DE ALTA DENSIDADE COM PROTECAO CONTRA RAIOS UV. POSSUI 04 RODAS DE BORRACHA MACICA, TAMPA QUE EVITA O ACUMULO DE AGUA E ANTIRRUIDO. CARGA DE 400 KG NO MINIMO. PROJETADO PARA SER UTILIZADO NA COLETA MECANIZADA.",1
"CONTRATACAO DE EMPRESA ESPECILALIZADA  EM SERVICO DE  DESALOJAMENTO DE POMBOS,COM APLICACAO DE GEL REPELENTE COM GARANTIA DE 30 DIAS INCLUINDODESINTETIZACAO E DESRATIZACAO COM MONITORAMENTO E LIMPEZA NAS CAIXAS D AGUA.  PRE ESCOLAR GASPAR BRAZ DE ARAUJO.",1
"CONTRATACAO DE VEICULO TIPO ONIBUS, MINIMO 36 LUGARES, ANO DE FABRICACAO 2007 ACIMA, LINHA DE TRANSPORTE ESCOLAR MUNICIPAL N 1201, PERCURSO DIARIO 94,000 KMS, NO ITINERARIO: FAZ. DO NIVALDO, PEDRAS, FAZ. ANA, BR 251, COAGRIL, AEROPORTO, TREVO AGUA BRANCA, RIO PRETO, UNAI PARA A E. E. VIRGILIO DE MELO FRANCO / E. E. VIGARIO TORRES / UNIMONTES NO HORARIO DA T, SENDO 245 DIAS LETIVOS E ESCOLARES NO PERIODO DE 01/02 ATE 31/12/2022.",1
COPO ALTO TIPO LONG DRINK  MATERIAL VIDRO  CILINDRICO  SEM CURVATURATRANSPARENTE  INCOLOR  LISO  REUTILIZAVEL  PARA AGUA  SUCO  REFRIGERANTE  CAPACIDADE 300ML  DIMENSES DE ALTURA 13CM  6 5 DE DIMETRO  VARIACAO DE 15 108921,1
"COPO DE VIDRO PARA AGUA, ALTO, TRANSPARENTE, CAPACIDADE DE 415 ML.",1
COPO DESCARTAVEL 200ML PARA AGUA,1
"COPO DESCARTAVEL 300 ML RESISTENTE - COPO PLASTICO DE BOA QUALIDADE, BRANCO OU TRANSPARENTE, EM POLIPROPILENO,NAO TOXICO.CAPACIDADE DE 300 ML, PARA AGUA, SUCO E REFRIGERANTE. COM RESISTENCIA DIFERENCIADA DO COPO DE 300 ML COMUM.O PACOTE DEVE CONTER 1",1
"COPO DESCARTAVEL PARA AGUA, BRANCO, TRANSPARENTE EM POLIETIRENO, OBEDECENDO AS NORMAS DA ABNT 14865, CAPACIDADE 50 ML. PACOTE COM 100 UNIDADES.",1
"COPO DESCARTAVEL PARA AGUA, TRANSPARENTE, CAPACIDADE DE 200 ML ACONDICIONADO EM PACOTE COM 100 UNID.",1
COPO DESCARTAVEL PARA AGUA/ SUCO INCOLOR/BRANCO - 300ML PACOTE COM 100 UNIDADES,1
COPO DESCARTAVEL PARA O CONSUMO DE AGUA,1
"COPO PLASTICO DESCARTAVEL COPO PLASTICO DESCARTAVEL DE 200ML PARA AGUA, CAIXA 2.500 UNIDADES. OS COPOS DEVEM ESTAR EM CONFORMIDADE COM A NORMA TECNICA 14865/2002 DA ABNT E NORMA NBR 13230, COM MASSA MINIMA DE 2,20 GRAMAS. O VENCEDOR DEVERA APRESENTAR LAUDO DE LABORATORIO CREDENCIADO JUNTO AO INMETRO, QUE COMPROVEM OS CRISTERIOS  DE ACEITACAO ESTABELECIDOS.",1
COPO TIPO TACA PARA AGUA 360 ML CRISTAL,1
CORANTE LIQUIDO A BASE DE AGUA 50ML,1
"CORANTE SOFT GEL AMARELO GEMA 60G - INGREDIENTES: AGUA, ACUCAR INVERTIDO, XAROPE DE GLUCOSE, AMIDO MODIFICADO, SAL REFINADO, ESPESSANTES GOMA CARRAGENA (INS407) E GOMA JATAI (INS410), ACIDULANTE ACIDO CITRICO (INS330), CONSERVADORES BENZOATO DE SODIO(INS211) E SORBATO DE POTASSIO (INS202) E CORANTE ARTIFICIAIS TARTRAZINA (INS102) E AMARELO CREPUSCULO (INS110). NAO CONTEM GLUTEN.",1
"CORRETIVO -LIQUIDO A BASE DE AGUA, PARA ERROS DE ESCRITA MANUAL E DATILOGRAFICA, ATOXICA, FRASCO COM 18 ML.",1
"CORRETIVO A BASE DE AGUA , LAVAVEL, ATOXICO E INODORO. IGUAL OU SUPERIOR A MARCA TOQUE MAGICO, FABER CASTELL OU BIC. ENVIAR AMOSTRA.",1
CORRETIVO A BASE DE AGUA 12 ML CX C/12 UNIDADES,1
"CORRETIVO LIQUIDO - CORRETIVO LIQUIDO, FRASCO DE 18ML, A  BASE  DE  AGUA,  IDEAL  PARA  USO SOBRE   TODOS   OS   PAPEIS,   PARA CORRIGIR FOTOCOPIA, FAX E TINTA DE CANETA    ESFEROGRAFICA,    PRODUTO ATOXICO.    TESTE     DO     PRODUTO: EXCELENTE COB",1
"CORRETIVO LIQUIDO 18ML - NAO TOXICO, A BASE DE AGUA, DISPERSANTES E TITANIO SECAGEM RAPIDA, COM DADOS DE IDENTIFICACAO DO PRODUTO, MARCA DO FABRICANTE",1
CORRETIVO LIQUIDO A BASE DE AGUA ATOXICO PARA CORRECAO DE QUALQUER TIPO DE ESCRITA FRASCO C18 ML-1695,1
CORRETIVO LIQUIDO A BASE DE AGUA TUBO DE 18 ML,1
"CORRETIVO LIQUIDO A BASE DE AGUA, NAO TOXICO - 18ML (CX C/ 12 UNIDADES)",1
"CORRETIVO LIQUIDO MATERIAL A BASE DE AGUA SECAGEM RAPIDA FRASCO C/ 18 ML CX COM 12 UN - MARCA DE REFERENCIA: FABER CASTEL, BIC, MARIPEL",1
"CORRETIVO LIQUIDO: SECAGEM RAPIDA, A BASE DE AGUA, SEM ODOR, ATOXICO, FRASCO DE 18ML. CAIXA COM 12 UNIDADES.",1
"COXA E SOBRECOXA DE FRANGO COXA E SOBRECOXA DE FRANGO CORTE DE FRANGO. DEVE APRESENTAR-SE COM CARIMBO DE INSPECAO DO ORGAO COMPETENTE. NAO DEVE APRESENTAR GELO SUPERFICIAL, AGUA DENTRO DA EMBALAGEM, NEM QUALQUER SINAL DE RECONGELAMENTO (GELO DE COR AVERMELHADA, POR EXEMPLO). NAO PODEM TER MANCHAS DE QUALQUER ESPECIE, NEM PARASITOS, NEM LARVAS. O SABOR E O ODOR DEVEM SER CARACTERISTICOS. A COR DEVE SER ROSADA. SEM TEMPERO. CONGELADA.",1
"CREME HIDRATANTE PARA O CORPO. EMBALAGEM COM 500 ML. COMPOSICAO: AGUA, ALCOOL CETOESTEARILICO, OLEO MINERAL, VASELINA SOLIDA, UREIA, DIMETICONA 200/10",1
"CURATIVO A BASE DE AGUA, HIDROGEL COM 60% AGUA",1
"CURATIVO FILME TRANSPARENTE PLACA 6X7CM. FILME DE POLIURETANO TRANSPARENTE, HIPOALERGENICO. ALTA PER CURATIVO FILME TRANSPARENTE PLACA 6X7CM. FILME DE POLIURETANO TRANSPARENTE, HIPOALERGENICO. ALTA PERMEABILIDADE AO VAPOR, PERMITINDO TROCAS GASOSAS E IMPERMEAVEL A AGUA E MICROORGANISMOS. DE FACIL VISUALIZACAO E INSPECAO DO SITIO DE INSERCAO DO CATETER E QUE OFERECA BOA ESTABILIDADE, PREVENINDO A SUA MIGRACAO. ESTERIL. EMBALADO INDIVIDUALMENTE. TAMANHO APROXIMADO DE 6 X 7CM. VALIDADE E ESTERILIZACAO NAO INFERIOR A 2 ANOS. (COTA RESERVADA A ME/EPP)",1
CURVA 20X45 SOLD AGUA,1
CURVA 45° PVC AGUA FRIA 20MM OU 3/4,1
"CURVA 90 GRAUS, EM PVC, SOLDAVEL, PARA AGUA, 25MM.",1
"CURVA EM PVC PARA AGUA, BITOLADA DE 3/4POL, ROSCA , 90 GRAUS",1
CURVA PVC RIGIDO 25 MM ANGULO 90 GRAUS PARA INSTALACOES PREDIAIS DE AGUA FRIA CONFORME NBR 9821 E 56,1
CX D AGUA  POLIETILENO - 310L -,1
CX D'AGUA POLIETILENO 1000L,1
DECALQUE DE OLHOS A BASE DE AGUA,1
"DESCIDA D?AGUA TIPO DEGRAU DN 500, EXCLUSIVE BOTA FORA",1
DESINFETANTE LIQUIDO  COMPOSICAO : TENSOATIVO NAO IONICO TENSOATIVO CATIONICO PRESERVANTE CORANTE PERFUME E AGUA PERFUME DE LAVANDA E EDUCALIPTO  ACONDICIONADO EM FRASCO PLASTICO DE 2 LT-1758,1
DESTILADOR DE AGUA CAPACIDADE DE DESTILACAO DE 2 LITROS HORA  GARANTIA MINIMA DE 12 MESES A PARTIR DA DATA DE ENTREGA,1
"DESTILADOR DE AGUA PORTATIL  - ESPECIFICACOES TECNICAS: DIMENSAO DA EMBALAGEM: 450 X 290 X 450 MM PESO COM EMBALAGEM: 5,00 KG GARANTIA: 12 MESES FREQUENCIA: 50HZ-60HZ PRODUCAO: 1000-1200ML / 1 HORA CAPACIDADE MAXIMA: 04 LITROS VOLTAGEM: 220V POTENCIA: 750W",1
"DETERGENTE - ADITIVO ALCALINO PARA LAVAGEM DE ROUPAS INDICADO COMO REFORCADOR ALCALINO, TANTO NA PRE-LAVAGEM COMO NA LAVAGEM DE ROUPAS. QUANDO ASSOCIADO A UM DETERGENTE, AGE DE FORMA IDEAL EM TODAS AS SUJIDADES, PRINCIPALMENTE COM FLUIDOS CORPORAIS E SUJIDADES DE OLEOS, GRAXAS E GORDURAS. TEM FUNCAO DE DILATAR AS FIBRAS DOS TECIDOS E ABRIR ESPACO PARA O DETERGENTE AGIR DE FORMA MAIS EFICIENTE.  DILUICAO: 01/10  EMBALAGEM: 50 LITROS  POR SE TRATAR DE PRODUTO PARA DILUICAO EM AGUA, O FORNECEDOR OFERECERA EM COMODATO O DOSADOR DE PRODUTOS COM OPCOES DE 15 PROCESSOS DE LAVAGEM, PARAMETRIZACAO COM 3 NIVEIS DE AGA E AUTOMOCAO DO PROCESSO ATRAVES DE BOMBAS HIDRAULICAS, CONTROLE DO NIVEL DE AGUA NA LAVADORA  E DESCARTE DE AGUA ATRAVES DE PISTAO PNEUMATICO, MANUTENCOES PREVENTIVAS E CORRETIVAS (PONTUAIS - SEMPRE QUE SOLICITADO) SEM CUSTOS OU TAXAS DE DESLOCAMENTO.  EXIGENCIAS QUANTO AO PRODUTO: ANVISA, FISPQ, FCA DE ESPECIFICACAO TECNICA.",1
"DETERGENTE 500ML , COM TENSOATIVOS ANIONICOS, SEQUESTRANTE, DERIVADOS DE ISOTIAZOLINONAS, ESPESSANTE, CORANTE, FRAGRANCIA E AGUA, COMPONENTE ATIVO LIN",1
"DETERGENTE NEUTRO EM CAIXAS CONTENDO 24 UNIDADES , LIQUIDO BIODEGRADAVEL CONCENTRADO, BICO DOSADOR TIPO PUSH-PULL. FRASCO DE 500ML. COMPOSICAO: AQUIL BENZENO, SULFATO DE SODIO (PRINCIPIO ATIVO), NEUTRALIZANTE, CONSERVANTE, SEQUESTRANTE, COADJUVANTE,ESPESSANTE, SAIS ORGANICOS, FRAGRANCIA, CORANTE E AGUA. ENVIAR AMOSTRA PARA ANALISE. MARCA PRE APROVADA: YPE E LIMPOL",1
DIETA ENTERAL DIETA ENTERAL COM DENSIDADE CALORICA APROXIMADA DE 1 2 A 1 5 CAL/ML  RICA EM AMINOACIDOS DE CADEIA RAMIFICADA  DESTINADO A PACIENTES COM INSUFICIENCIA HEPATICA  ISENTA DE LACTOSE  SACAROSE E GLUTEN  OSMOLALIDADE APROXIMADAMENTE DE 400 M OSM/KG AGUA  OS PRODUTOS DEVERAO SER ENTREGUES COM PRAZO DE VIDA UTIL PARA 06 (SEIS) MESES DO TEMPO DA VALIDADE DO PRODUTO,1
DISCO  REFRIGERADO    A  AGUA      DIAMANTADO COM   FURO   DE    20MM        PARA     CORTE   DE CER,1
DISCO FREIO / KOMBI AGUA,1
"DISPENSER REDONDO EM ACO INOX PARA COPO DE AGUA 180/200ML.  DIMENSOES DO PRODUTO: 43CM (ALTURA) X 7,5CM (DIAMETRO).  O PRODUTO POSSUI GARRAS NA BASE PARA AJUSTE DA SAIDA DO COPO E DUAS PEQUENAS ABAS PARA FIXACAO NA PAREDE.",1
"DOCE DE PESSEGO EM CALDA. LATA DE DOCE  PESSEGO  EM CALDA COM AS DESCRICOES MINIMAS: LATA 450 GRAMAS  PESO DRENADO , PESSEGOS EM METADES, AGUA, ACUCAR, XAROPE DE GLICOSE-FRUTOSE E ACIDULANTE ACIDO CITRICO, NAO CONTENDO GLUTEN. -",1
DUCHA HIGIENICA COM REGISTRO PARA CONTROLE DE FLUXO DE AGUA 12 - FORNECIMENTO E INSTALACAO UNIDADE B DUCHA HIGIENICA COM REGISTRO PARA CONTROLE DE FLUXO DE AGUA 1/2§ - FORNECIMENTO E INSTALACAO (UNIDADE BASICA DE SAUDE)§§,1
"EBULIDOR ALUMINIO PEQUENO 127V 1000W * 1000W | 127V * 24 CM * MATERIAL: METAL * FERVE AGUA SUPER RAPIDO. * INDICADO PARA: CAFE, COZINHAR OVOS, BATATAS E LEGUMES.",1
"ELEMENTO FILTRANTE. RETENCAO DE PARTICULAS: P - III (> 5 A < 15 UM). REDUCAO DE CLORO LIVRE: C-I (> 75%) VIDA UTIL: 4000 LITROS OU 06 MESES, PARAMETROS QUE PODERAO VARIAR DE ACORDO COM A QUALIDADE DA AGUA E A FREQUENCIA DE USO. DIMENSOES: ALTURA: 22,5 CM / LARGURA: 10,5 CM / PROFUNDIDADE: 10,5 CM.",1
ELEMENTO PARA FILTRO DE BEBEDOURO CARBON BLOCK ALTURA 120MM E DIAMETRO 65MM - 019.000.994 - CARBON BLOCK ALTURA 120MM E DIAMETRO 65MM. VASADO DE AMBOS OS LADOS DIAMETRO APROXIMADO 27.5MM. REDUCAO DE CLORO LIVRE = 75%. VIDA UTIL 3000 LITROS OU SEIS MESES QUE VARIAM DE ACORDO COM A QUALIDADE DA AGUA E FREQUENCIA DE USO. (IGATU OU SIMILAR),1
"ELETRODO DE PH COMBINADO COM CORPO DE EPOXI, ENCHIMENTO EM GEL PARA USO EM ANALISE DE AGUA, CONECTOR BNC",1
